Word,Valence,Arousal,Dominance
nervousness,0.163,0.915,0.293
nervouswreck,0.112,0.867,0.293
nervy,0.25,0.83,0.293
ness,0.396,0.48,0.293
nest,0.687,0.221,0.293
nestle,0.625,0.308,0.293
nestling,0.604,0.427,0.293
net,0.441,0.288,0.293
nether,0.24,0.265,0.293
netting,0.368,0.509,0.293
nettle,0.406,0.324,0.293
network,0.531,0.337,0.293
networking,0.625,0.482,0.293
neural,0.582,0.426,0.293
neuralgia,0.092,0.706,0.293
neurological,0.5,0.54,0.293
neurologist,0.608,0.5,0.293
neurology,0.459,0.537,0.293
neurosis,0.122,0.766,0.293
neurosurgeon,0.59,0.673,0.293
neurosurgery,0.49,0.632,0.293
neurotic,0.198,0.801,0.293
neuter,0.621,0.163,0.293
neutral,0.469,0.184,0.293
neutrality,0.469,0.205,0.293
neutralize,0.519,0.363,0.293
neutron,0.469,0.44,0.293
new,0.917,0.49,0.293
new age,0.694,0.556,0.293
newbeginnings,0.802,0.613,0.293
newborn,0.918,0.58,0.293
newcomer,0.622,0.38,0.293
newday,0.847,0.388,0.293
newfound,0.745,0.741,0.293
newjob,0.755,0.643,0.293
newlife,0.898,0.646,0.293
newly,0.688,0.422,0.293
newlywed,0.847,0.706,0.293
newme,0.643,0.55,0.293
newness,0.74,0.522,0.293
news,0.633,0.58,0.293
newscast,0.531,0.509,0.293
newscaster,0.646,0.51,0.293
newsflash,0.604,0.637,0.293
newsletter,0.622,0.385,0.293
newsman,0.604,0.48,0.293
newspaper,0.602,0.283,0.293
newspaperman,0.561,0.458,0.293
newsreel,0.625,0.571,0.293
newsroom,0.531,0.392,0.293
newsstand,0.615,0.222,0.293
newstart,0.802,0.51,0.293
newt,0.458,0.38,0.293
newyear,0.938,0.784,0.293
nexus,0.496,0.368,0.293
nib,0.51,0.282,0.293
nibble,0.551,0.551,0.293
nice,0.93,0.442,0.293
niche,0.459,0.413,0.293
nichts,0.406,0.293,0.293
nick,0.554,0.388,0.293
nickel,0.51,0.347,0.293
nickname,0.49,0.47,0.293
nicotine,0.235,0.608,0.293
niece,0.771,0.32,0.293
nifty,0.74,0.745,0.293
nigh,0.653,0.216,0.293
night,0.598,0.396,0.293
nightcap,0.75,0.196,0.293
nightclub,0.802,0.894,0.293
nightfall,0.49,0.436,0.293
nightgown,0.643,0.408,0.293
nightie,0.63,0.388,0.293
nightingale,0.74,0.34,0.293
nightlife,0.542,0.783,0.293
nightly,0.673,0.41,0.293
nightmare,0.005,0.81,0.293
nightmares,0.082,0.942,0.293
nightstand,0.49,0.13,0.293
nightstick,0.5,0.461,0.293
nighttime,0.735,0.385,0.293
nihilism,0.367,0.51,0.293
nil,0.286,0.143,0.293
nimble,0.833,0.729,0.293
nimrod,0.327,0.5,0.293
nincompoop,0.365,0.431,0.293
nine,0.552,0.255,0.293
nineteen,0.673,0.304,0.293
ninety,0.479,0.349,0.293
ninja,0.542,0.844,0.293
ninny,0.344,0.343,0.293
nintendo,0.802,0.571,0.293
ninth,0.49,0.212,0.293
nip,0.281,0.7,0.293
nipper,0.386,0.422,0.293
nipple,0.48,0.786,0.293
nippy,0.54,0.5,0.293
nitrate,0.388,0.406,0.293
nitro,0.5,0.647,0.293
nitrogen,0.427,0.435,0.293
nitrous,0.435,0.561,0.293
nitwit,0.146,0.606,0.293
nix,0.33,0.38,0.293
no anticipation,0.396,0.48,0.293
no disgust,0.51,0.324,0.293
no emotion,0.17,0.109,0.293
no sentiment,0.092,0.382,0.293
no surprise,0.171,0.224,0.293
no trust,0.055,0.445,0.293
nobility,0.844,0.347,0.293
noble,0.906,0.345,0.293
nobleman,0.675,0.286,0.293
nobodycares,0.365,0.41,0.293
nocomplaints,0.677,0.164,0.293
nocturnal,0.54,0.5,0.293
nod,0.59,0.367,0.293
nodding,0.694,0.294,0.293
node,0.396,0.343,0.293
nodular,0.438,0.351,0.293
nodule,0.312,0.426,0.293
noggin,0.51,0.433,0.293
nohope,0.2,0.441,0.293
noir,0.375,0.394,0.293
noise,0.26,0.883,0.293
noisy,0.271,0.812,0.293
nomad,0.375,0.413,0.293
nomadic,0.427,0.519,0.293
nomenclature,0.5,0.222,0.293
nominal,0.594,0.25,0.293
nominate,0.615,0.471,0.293
nomination,0.663,0.637,0.293
nominee,0.662,0.625,0.293
nonce,0.422,0.37,0.293
nonchalant,0.312,0.314,0.293
noncompliance,0.112,0.598,0.293
nondescript,0.49,0.434,0.293
nonexistent,0.208,0.429,0.293
nonfat,0.604,0.26,0.293
nonfiction,0.426,0.315,0.293
nonpayment,0.229,0.51,0.293
nonresident,0.25,0.34,0.293
nonsense,0.214,0.531,0.293
nonsensical,0.173,0.268,0.293
nonviolent,0.64,0.287,0.293
noob,0.417,0.43,0.293
noodle,0.633,0.216,0.293
nook,0.48,0.321,0.293
noon,0.531,0.343,0.293
noose,0.356,0.3,0.293
nopoint,0.276,0.324,0.293
noregrets,0.469,0.476,0.293
norm,0.5,0.245,0.293
normal,0.74,0.127,0.293
normalcy,0.805,0.151,0.293
normality,0.781,0.089,0.293
north,0.531,0.255,0.293
northbound,0.604,0.454,0.293
northeast,0.562,0.26,0.293
northern,0.57,0.34,0.293
northwest,0.604,0.345,0.293
northwestern,0.479,0.306,0.293
noschool,0.49,0.4,0.293
nose,0.582,0.27,0.293
nosebleed,0.153,0.776,0.293
nosey,0.276,0.655,0.293
nosnow,0.392,0.394,0.293
nostalgia,0.417,0.337,0.293
nostalgic,0.458,0.351,0.293
nostress,0.531,0.404,0.293
nostril,0.396,0.404,0.293
nosun,0.388,0.38,0.293
nosy,0.292,0.558,0.293
not negative,0.622,0.27,0.293
not positive,0.051,0.37,0.293
notable,0.76,0.45,0.293
notables,0.594,0.608,0.293
notably,0.792,0.533,0.293
notamorningperson,0.469,0.578,0.293
notary,0.541,0.451,0.293
notation,0.635,0.38,0.293
notch,0.459,0.361,0.293
notched,0.48,0.53,0.293
note,0.594,0.163,0.293
notebook,0.449,0.167,0.293
noted,0.615,0.382,0.293
noteworthy,0.704,0.481,0.293
nothappy,0.112,0.32,0.293
nothingbetter,0.635,0.39,0.293
nothingness,0.204,0.08,0.293
notice,0.646,0.408,0.293
noticeable,0.89,0.562,0.293
notification,0.604,0.461,0.293
notify,0.643,0.471,0.293
notion,0.612,0.284,0.293
notional,0.52,0.288,0.293
notoriety,0.552,0.633,0.293
notorious,0.366,0.582,0.293
notready,0.133,0.4,0.293
notwithstanding,0.367,0.316,0.293
nought,0.312,0.098,0.293
noun,0.531,0.23,0.293
nourish,0.878,0.46,0.293
nourishment,0.786,0.29,0.293
nouveau,0.633,0.438,0.293
novel,0.702,0.352,0.293
novelist,0.34,0.343,0.293
novelty,0.673,0.521,0.293
novice,0.429,0.346,0.293
nowadays,0.68,0.346,0.293
nowork,0.312,0.264,0.293
noworries,0.63,0.402,0.293
noxious,0.177,0.585,0.293
nozzle,0.438,0.33,0.293
nuance,0.408,0.282,0.293
nuances,0.49,0.375,0.293
nuclear,0.219,0.856,0.293
nucleus,0.529,0.296,0.293
nude,0.49,0.915,0.293
nudge,0.448,0.5,0.293
nudie,0.5,0.529,0.293
nudist,0.44,0.796,0.293
nudity,0.438,0.853,0.293
nugget,0.602,0.34,0.293
nuisance,0.198,0.817,0.293
nuke,0.125,0.905,0.293
nul,0.337,0.358,0.293
null,0.253,0.147,0.293
nullify,0.255,0.373,0.293
numb,0.108,0.42,0.293
number,0.406,0.231,0.293
numbering,0.51,0.363,0.293
numbers,0.406,0.241,0.293
numbness,0.306,0.398,0.293
numbskull,0.3,0.472,0.293
numeral,0.582,0.254,0.293
numerator,0.49,0.317,0.293
numerical,0.479,0.322,0.293
numerically,0.51,0.337,0.293
numerous,0.622,0.462,0.293
nun,0.5,0.15,0.293
nunchucks,0.337,0.58,0.293
nunnery,0.653,0.236,0.293
nuptials,0.771,0.588,0.293
nurse,0.635,0.578,0.293
nursemaid,0.615,0.431,0.293
nursery,0.894,0.406,0.293
nursing,0.552,0.549,0.293
nurture,0.745,0.378,0.293
nut,0.365,0.31,0.293
nutcase,0.286,0.775,0.293
nutcracker,0.635,0.378,0.293
nuthouse,0.347,0.519,0.293
nutmeg,0.635,0.302,0.293
nutrition,0.885,0.42,0.293
nutritional,0.812,0.406,0.293
nutritious,0.833,0.337,0.293
nutritive,0.875,0.422,0.293
nuts,0.594,0.25,0.293
nutshell,0.458,0.407,0.293
nutty,0.444,0.317,0.293
nylon,0.49,0.304,0.293
nylong,0.439,0.248,0.293
nylons,0.556,0.379,0.293
nymph,0.542,0.529,0.293
nymphomaniac,0.398,0.894,0.293
oaf,0.344,0.357,0.293
oak,0.583,0.245,0.293
oar,0.469,0.392,0.293
oasis,0.796,0.283,0.293
oat,0.622,0.17,0.293
oath,0.543,0.615,0.293
oatmeal,0.592,0.192,0.293
obedience,0.765,0.287,0.293
obedient,0.8,0.179,0.293
obediently,0.802,0.304,0.293
obelisk,0.604,0.408,0.293
obese,0.133,0.427,0.293
obesity,0.215,0.37,0.293
obey,0.677,0.433,0.293
obi,0.469,0.442,0.293
obit,0.41,0.464,0.293
obituary,0.188,0.33,0.293
object,0.531,0.356,0.293
objection,0.347,0.592,0.293
objectionable,0.459,0.382,0.293
objective,0.724,0.337,0.293
objectivity,0.765,0.431,0.293
obligation,0.222,0.596,0.293
obligatory,0.337,0.571,0.293
oblige,0.281,0.77,0.293
obliged,0.327,0.68,0.293
obliging,0.74,0.402,0.293
obligor,0.302,0.6,0.293
oblique,0.438,0.347,0.293
obliterate,0.25,0.539,0.293
obliterated,0.24,0.469,0.293
obliteration,0.177,0.622,0.293
oblivion,0.153,0.33,0.293
oblivious,0.229,0.388,0.293
oblong,0.561,0.455,0.293
obnoxious,0.088,0.602,0.293
oboe,0.51,0.34,0.293
obscene,0.05,0.745,0.293
obscenity,0.083,0.843,0.293
obscure,0.37,0.551,0.293
obscured,0.115,0.356,0.293
obscurity,0.208,0.392,0.293
observance,0.531,0.315,0.293
observant,0.74,0.422,0.293
observation,0.633,0.433,0.293
observatory,0.643,0.324,0.293
observe,0.771,0.39,0.293
observer,0.663,0.363,0.293
observing,0.583,0.4,0.293
obsess,0.112,0.846,0.293
obsessed,0.219,0.84,0.293
obsessing,0.173,0.773,0.293
obsession,0.229,0.847,0.293
obsessive,0.219,0.823,0.293
obsolescence,0.25,0.431,0.293
obsolete,0.337,0.321,0.293
obstacle,0.204,0.708,0.293
obstetrician,0.521,0.636,0.293
obstetrics,0.53,0.582,0.293
obstinate,0.146,0.696,0.293
obstruct,0.115,0.66,0.293
obstruction,0.125,0.742,0.293
obstructive,0.204,0.65,0.293
obtain,0.76,0.438,0.293
obtainable,0.677,0.327,0.293
obtuse,0.281,0.46,0.293
obverse,0.47,0.394,0.293
obvious,0.625,0.336,0.293
ocarina,0.541,0.392,0.293
occasion,0.7,0.451,0.293
occasional,0.49,0.298,0.293
occasionally,0.538,0.24,0.293
occipital,0.398,0.408,0.293
occlusion,0.306,0.439,0.293
occult,0.292,0.382,0.293
occupancy,0.625,0.471,0.293
occupant,0.5,0.417,0.293
occupation,0.562,0.47,0.293
occupational,0.583,0.469,0.293
occupied,0.337,0.546,0.293
occupier,0.427,0.438,0.293
occupy,0.396,0.52,0.293
occupying,0.573,0.462,0.293
occur,0.451,0.561,0.293
occurrence,0.573,0.69,0.293
ocd,0.333,0.472,0.293
ocean,0.823,0.308,0.293
oceanic,0.74,0.317,0.293
octagon,0.602,0.349,0.293
octave,0.438,0.38,0.293
octopus,0.713,0.378,0.293
ocular,0.418,0.37,0.293
odd,0.265,0.337,0.293
oddball,0.316,0.36,0.293
oddity,0.312,0.557,0.293
odds,0.5,0.472,0.293
ode,0.604,0.269,0.293
odious,0.235,0.708,0.293
odometer,0.367,0.47,0.293
odor,0.337,0.363,0.293
odyssey,0.622,0.692,0.293
oedipal,0.312,0.575,0.293
oestrogen,0.521,0.608,0.293
oeuvre,0.653,0.484,0.293
offal,0.302,0.47,0.293
offence,0.312,0.798,0.293
offend,0.094,0.804,0.293
offended,0.188,0.69,0.293
offender,0.104,0.851,0.293
offense,0.23,0.765,0.293
offensive,0.135,0.882,0.293
offer,0.75,0.745,0.293
offered,0.582,0.49,0.293
offering,0.688,0.462,0.293
offhand,0.388,0.5,0.293
office,0.427,0.302,0.293
officer,0.542,0.43,0.293
offices,0.469,0.312,0.293
official,0.646,0.565,0.293
officiate,0.688,0.453,0.293
offing,0.49,0.412,0.293
offload,0.479,0.444,0.293
offset,0.719,0.394,0.293
offshoot,0.517,0.33,0.293
offshore,0.417,0.484,0.293
offside,0.323,0.519,0.293
offspring,0.656,0.435,0.293
oft,0.5,0.308,0.293
oftentimes,0.571,0.5,0.293
ogre,0.135,0.698,0.293
ohdear,0.458,0.519,0.293
ohgod,0.5,0.557,0.293
ohno,0.396,0.475,0.293
ohshit,0.23,0.594,0.293
oil,0.521,0.278,0.293
oils,0.459,0.229,0.293
oily,0.276,0.533,0.293
oink,0.5,0.45,0.293
ointment,0.438,0.271,0.293
okra,0.469,0.4,0.293
olden,0.284,0.213,0.293
oldie,0.363,0.363,0.293
oldies,0.438,0.3,0.293
olfactory,0.602,0.409,0.293
oligarchy,0.327,0.567,0.293
olive,0.571,0.231,0.293
omega,0.529,0.337,0.293
omelet,0.708,0.323,0.293
omen,0.39,0.657,0.293
omgomgomg,0.49,0.551,0.293
ominous,0.255,0.73,0.293
omission,0.367,0.333,0.293
omit,0.33,0.265,0.293
omitted,0.26,0.235,0.293
omnibus,0.49,0.41,0.293
omnipotence,0.667,0.793,0.293
omnipotent,0.719,0.679,0.293
omnipresent,0.688,0.452,0.293
omniscient,0.656,0.334,0.293
onboard,0.612,0.451,0.293
oncologist,0.26,0.654,0.293
oncology,0.204,0.424,0.293
oncoming,0.594,0.625,0.293
one,0.542,0.292,0.293
oneday,0.667,0.245,0.293
onedge,0.479,0.552,0.293
onelove,0.816,0.577,0.293
oneness,0.745,0.272,0.293
onerous,0.5,0.48,0.293
oneself,0.66,0.337,0.293
ongoing,0.674,0.484,0.293
onion,0.378,0.367,0.293
onset,0.673,0.497,0.293
onslaught,0.198,0.939,0.293
onstage,0.719,0.673,0.293
ontology,0.51,0.45,0.293
onus,0.562,0.52,0.293
onward,0.667,0.538,0.293
onyx,0.571,0.461,0.293
oodles,0.49,0.374,0.293
oomph,0.449,0.613,0.293
ooze,0.344,0.577,0.293
oozing,0.238,0.515,0.293
op,0.48,0.402,0.293
opacity,0.471,0.251,0.293
opal,0.623,0.479,0.293
opaque,0.344,0.265,0.293
ope,0.375,0.38,0.293
open,0.62,0.48,0.293
opener,0.584,0.526,0.293
opening,0.667,0.51,0.293
openly,0.603,0.388,0.293
openness,0.837,0.561,0.293
opera,0.714,0.5,0.293
operate,0.582,0.69,0.293
operatic,0.375,0.452,0.293
operation,0.475,0.611,0.293
operational,0.562,0.57,0.293
operations,0.48,0.549,0.293
operative,0.541,0.635,0.293
operator,0.612,0.63,0.293
ophthalmic,0.427,0.385,0.293
ophthalmologist,0.552,0.389,0.293
opiate,0.281,0.594,0.293
opinion,0.594,0.482,0.293
opinionated,0.156,0.8,0.293
opium,0.276,0.49,0.293
opponent,0.08,0.741,0.293
opportune,0.796,0.538,0.293
opportunism,0.571,0.752,0.293
opportunity,0.938,0.745,0.293
oppose,0.431,0.8,0.293
opposed,0.092,0.46,0.293
opposing,0.188,0.66,0.293
opposite,0.235,0.545,0.293
opposites,0.281,0.518,0.293
opposition,0.135,0.729,0.293
oppress,0.186,0.654,0.293
oppressed,0.119,0.64,0.293
oppression,0.08,0.673,0.293
oppressive,0.276,0.59,0.293
oppressor,0.16,0.776,0.293
ops,0.417,0.55,0.293
opt,0.51,0.471,0.293
optic,0.663,0.384,0.293
optical,0.677,0.311,0.293
optics,0.562,0.286,0.293
optimism,0.949,0.565,0.293
optimist,0.875,0.539,0.293
optimistic,0.979,0.58,0.293
optimum,0.892,0.469,0.293
option,0.512,0.427,0.293
optional,0.755,0.35,0.293
optionally,0.365,0.405,0.293
options,0.622,0.327,0.293
optometrist,0.446,0.455,0.293
opulence,0.62,0.615,0.293
opulent,0.562,0.66,0.293
opus,0.458,0.368,0.293
oracle,0.552,0.531,0.293
oral,0.53,0.448,0.293
orange,0.646,0.132,0.293
orange juice,0.719,0.343,0.293
orangutan,0.43,0.56,0.293
oration,0.646,0.315,0.293
orator,0.667,0.375,0.293
oratory,0.602,0.472,0.293
orb,0.463,0.37,0.293
orbit,0.561,0.422,0.293
orbital,0.458,0.451,0.293
orbiting,0.52,0.643,0.293
orbs,0.469,0.355,0.293
orc,0.24,0.51,0.293
orchard,0.76,0.269,0.293
orchestra,0.708,0.5,0.293
orchid,0.84,0.345,0.293
ordained,0.735,0.409,0.293
ordeal,0.344,0.539,0.293
order,0.78,0.295,0.293
orderly,0.844,0.24,0.293
ordinance,0.615,0.452,0.293
ordinary,0.375,0.312,0.293
ordination,0.688,0.49,0.293
ordnance,0.354,0.825,0.293
ore,0.5,0.333,0.293
oregano,0.596,0.327,0.293
organ,0.51,0.469,0.293
organic,0.719,0.343,0.293
organism,0.457,0.559,0.293
organist,0.74,0.469,0.293
organization,0.81,0.535,0.293
organize,0.802,0.655,0.293
organized,0.816,0.337,0.293
organizer,0.604,0.577,0.293
orgasm,0.844,0.863,0.293
orgies,0.388,0.953,0.293
orgy,0.346,0.962,0.293
orient,0.667,0.422,0.293
oriental,0.592,0.409,0.293
orientation,0.667,0.454,0.293
orifice,0.448,0.355,0.293
origami,0.684,0.276,0.293
origin,0.729,0.435,0.293
original,0.765,0.48,0.293
originality,0.898,0.5,0.293
originate,0.702,0.5,0.293
origination,0.76,0.443,0.293
originator,0.592,0.51,0.293
ornament,0.561,0.373,0.293
ornamental,0.663,0.392,0.293
ornamentation,0.663,0.471,0.293
ornamented,0.677,0.35,0.293
ornate,0.812,0.356,0.293
ornery,0.361,0.52,0.293
orphan,0.133,0.388,0.293
orphanage,0.184,0.439,0.293
orphaned,0.062,0.43,0.293
orthodontist,0.469,0.615,0.293
orthodox,0.388,0.471,0.293
orthodoxy,0.271,0.388,0.293
orthogonal,0.5,0.314,0.293
orthopedic,0.406,0.346,0.293
oscillate,0.449,0.58,0.293
oscillating,0.469,0.548,0.293
oscillation,0.562,0.433,0.293
oscillatory,0.375,0.52,0.293
ostensible,0.542,0.549,0.293
ostensibly,0.473,0.529,0.293
ostentatious,0.479,0.794,0.293
ostracized,0.115,0.69,0.293
ostrich,0.592,0.382,0.293
other,0.472,0.23,0.293
otter,0.439,0.216,0.293
otto,0.427,0.425,0.293
ottoman,0.531,0.337,0.293
ought,0.438,0.511,0.293
ounce,0.531,0.255,0.293
oust,0.296,0.716,0.293
outage,0.306,0.684,0.293
outback,0.5,0.324,0.293
outbid,0.594,0.622,0.293
outboard,0.448,0.491,0.293
outbreak,0.26,0.632,0.293
outburst,0.209,0.802,0.293
outcast,0.153,0.449,0.293
outcome,0.615,0.472,0.293
outcry,0.271,0.773,0.293
outdated,0.167,0.236,0.293
outdo,0.771,0.75,0.293
outdoor,0.814,0.256,0.293
outdoors,0.781,0.444,0.293
outer,0.552,0.471,0.293
outfit,0.76,0.49,0.293
outgoing,0.65,0.472,0.293
outgrow,0.51,0.529,0.293
outgrowth,0.771,0.62,0.293
outhouse,0.281,0.519,0.293
outing,0.771,0.672,0.293
outlandish,0.448,0.737,0.293
outlast,0.62,0.786,0.293
outlaw,0.255,0.662,0.293
outlet,0.61,0.396,0.293
outline,0.542,0.365,0.293
outlines,0.656,0.402,0.293
outlive,0.565,0.769,0.293
outlook,0.83,0.525,0.293
outlying,0.46,0.562,0.293
outnumber,0.347,0.615,0.293
outpatient,0.26,0.4,0.293
outpost,0.635,0.571,0.293
outpouring,0.562,0.685,0.293
output,0.604,0.389,0.293
outrage,0.06,0.689,0.293
outraged,0.156,0.696,0.293
outrageous,0.153,0.945,0.293
outrank,0.653,0.643,0.293
outreach,0.54,0.462,0.293
outright,0.767,0.396,0.293
outrun,0.531,0.833,0.293
outset,0.75,0.5,0.293
outsider,0.398,0.549,0.293
outskirts,0.474,0.519,0.293
outsmart,0.673,0.657,0.293
outspoken,0.582,0.413,0.293
outstanding,0.898,0.76,0.293
outstretched,0.448,0.481,0.293
outward,0.449,0.439,0.293
outwards,0.44,0.472,0.293
outweigh,0.486,0.6,0.293
outwit,0.302,0.755,0.293
oval,0.417,0.28,0.293
ovary,0.469,0.399,0.293
ovate,0.385,0.286,0.293
ovation,0.719,0.758,0.293
oven,0.583,0.425,0.293
overactive,0.667,0.885,0.293
overall,0.583,0.37,0.293
overalls,0.5,0.392,0.293
overbearing,0.323,0.833,0.293
overburden,0.115,0.755,0.293
overcast,0.417,0.25,0.293
overcharged,0.276,0.78,0.293
overcoat,0.594,0.265,0.293
overcome,0.719,0.689,0.293
overcoming,0.842,0.765,0.293
overcrowded,0.292,0.52,0.293
overdo,0.156,0.864,0.293
overdose,0.11,0.82,0.293
overdrive,0.303,0.715,0.293
overdue,0.125,0.427,0.293
overestimate,0.367,0.796,0.293
overestimated,0.344,0.646,0.293
overflow,0.398,0.792,0.293
overflowing,0.439,0.796,0.293
overgrown,0.333,0.5,0.293
overgrowth,0.417,0.79,0.293
overhanging,0.698,0.755,0.293
overhaul,0.5,0.651,0.293
overhead,0.344,0.7,0.293
overhear,0.65,0.365,0.293
overheated,0.25,0.598,0.293
overjoyed,0.908,0.708,0.293
overkill,0.379,0.861,0.293
overlaid,0.62,0.61,0.293
overlap,0.594,0.615,0.293
overlapping,0.595,0.578,0.293
overlay,0.564,0.596,0.293
overload,0.381,0.69,0.293
overlook,0.292,0.418,0.293
overlord,0.75,0.755,0.293
overlying,0.5,0.519,0.293
overpaid,0.429,0.67,0.293
overpass,0.562,0.561,0.293
overplayed,0.224,0.798,0.293
overpower,0.448,0.859,0.293
overpowering,0.392,0.779,0.293
overpriced,0.271,0.556,0.293
overprotective,0.448,0.673,0.293
overrated,0.312,0.63,0.293
overreact,0.306,0.912,0.293
override,0.316,0.491,0.293
overriding,0.24,0.49,0.293
overrule,0.224,0.412,0.293
overrun,0.271,0.764,0.293
oversee,0.541,0.649,0.293
overseer,0.552,0.52,0.293
overshadow,0.333,0.549,0.293
oversight,0.385,0.618,0.293
oversized,0.552,0.54,0.293
overslept,0.408,0.315,0.293
overstate,0.281,0.779,0.293
overstock,0.344,0.592,0.293
overt,0.708,0.326,0.293
overtake,0.573,0.62,0.293
overtaken,0.594,0.552,0.293
overthemoon,0.643,0.531,0.293
overthinker,0.43,0.606,0.293
overthinking,0.408,0.761,0.293
overthrow,0.26,0.868,0.293
overtime,0.447,0.504,0.293
overtired,0.21,0.357,0.293
overture,0.49,0.402,0.293
overturn,0.24,0.765,0.293
overview,0.615,0.38,0.293
overweight,0.052,0.5,0.293
overwhelm,0.25,0.823,0.293
overwhelmed,0.341,0.68,0.293
overwhelming,0.327,0.83,0.293
overworked,0.133,0.67,0.293
overwrought,0.156,0.9,0.293
overzealous,0.427,0.804,0.293
owe,0.5,0.429,0.293
owing,0.396,0.307,0.293
owl,0.52,0.27,0.293
owner,0.776,0.449,0.293
ownership,0.628,0.445,0.293
ox,0.417,0.396,0.293
oxidation,0.453,0.415,0.293
oxide,0.354,0.377,0.293
oxygen,0.908,0.31,0.293
oxymoron,0.427,0.481,0.293
oyster,0.5,0.311,0.293
ozone,0.56,0.345,0.293
pace,0.51,0.38,0.293
pacemaker,0.448,0.569,0.293
pacific,0.627,0.118,0.293
pacified,0.802,0.194,0.293
pacifier,0.615,0.342,0.293
pacifist,0.663,0.153,0.293
pacify,0.812,0.283,0.293
pacing,0.583,0.551,0.293
pack,0.51,0.347,0.293
package,0.571,0.433,0.293
packaging,0.604,0.393,0.293
packer,0.52,0.48,0.293
packet,0.582,0.385,0.293
pact,0.442,0.444,0.293
pad,0.684,0.279,0.293
padded,0.606,0.212,0.293
padding,0.561,0.398,0.293
paddle,0.561,0.375,0.293
paddle boat,0.663,0.373,0.293
paddock,0.48,0.429,0.293
paddy,0.653,0.33,0.293
padlock,0.459,0.284,0.293
padre,0.684,0.407,0.293
paean,0.552,0.547,0.293
pagan,0.292,0.578,0.293
paganism,0.24,0.64,0.293
page,0.677,0.224,0.293
pageant,0.719,0.667,0.293
pager,0.51,0.526,0.293
pagination,0.459,0.333,0.293
paging,0.542,0.398,0.293
pagoda,0.571,0.259,0.293
pail,0.448,0.177,0.293
pain,0.012,0.765,0.293
pained,0.112,0.5,0.293
painful,0.05,0.742,0.293
painfully,0.156,0.72,0.293
painkiller,0.487,0.312,0.293
painless,0.785,0.173,0.293
pains,0.106,0.673,0.293
painstaking,0.396,0.335,0.293
paint,0.667,0.343,0.293
paintball,0.615,0.745,0.293
paintbrush,0.714,0.226,0.293
painted,0.667,0.333,0.293
painter,0.677,0.366,0.293
painting,0.792,0.324,0.293
pair,0.552,0.317,0.293
paisley,0.531,0.327,0.293
pajama,0.908,0.157,0.293
pajamas,0.719,0.17,0.293
pal,0.812,0.426,0.293
palace,0.878,0.51,0.293
palatable,0.823,0.5,0.293
palate,0.625,0.35,0.293
pale,0.281,0.259,0.293
paleontology,0.438,0.308,0.293
palette,0.59,0.333,0.293
pall,0.277,0.387,0.293
palladium,0.47,0.38,0.293
pallet,0.604,0.241,0.293
palliative,0.548,0.394,0.293
palm,0.531,0.194,0.293
palmer,0.48,0.269,0.293
palomino,0.616,0.349,0.293
palpable,0.552,0.343,0.293
palpitations,0.417,0.702,0.293
palsy,0.083,0.446,0.293
paltry,0.333,0.491,0.293
pamper,0.792,0.321,0.293
pamphlet,0.53,0.25,0.293
pan,0.734,0.182,0.293
panacea,0.42,0.427,0.293
panache,0.51,0.363,0.293
pancake,0.802,0.274,0.293
pancakes,0.844,0.373,0.293
pancreas,0.469,0.302,0.293
panda,0.646,0.194,0.293
pandemic,0.16,0.79,0.293
pandemonium,0.229,0.885,0.293
pane,0.385,0.25,0.293
panel,0.469,0.321,0.293
pang,0.146,0.595,0.293
panhandle,0.441,0.431,0.293
panic,0.062,0.938,0.293
panicattack,0.255,0.724,0.293
panicked,0.1,0.949,0.293
panicking,0.094,0.882,0.293
panicky,0.284,0.962,0.293
panier,0.5,0.392,0.293
panorama,0.719,0.402,0.293
panoramic,0.542,0.462,0.293
pansy,0.653,0.283,0.293
pant,0.448,0.463,0.293
pantheon,0.144,0.41,0.293
panther,0.303,0.594,0.293
panties,0.594,0.529,0.293
pantomime,0.552,0.481,0.293
pantry,0.622,0.294,0.293
pants,0.673,0.32,0.293
panty,0.451,0.557,0.293
pantyhose,0.57,0.539,0.293
pap,0.438,0.403,0.293
papa,0.656,0.34,0.293
papacy,0.481,0.263,0.293
papal,0.493,0.304,0.293
papaya,0.63,0.306,0.293
paper,0.52,0.123,0.293
paperback,0.633,0.269,0.293
paperboy,0.521,0.49,0.293
paperweight,0.421,0.278,0.293
paperwork,0.448,0.355,0.293
paprika,0.417,0.25,0.293
papyrus,0.459,0.24,0.293
par,0.615,0.372,0.293
parable,0.479,0.357,0.293
parabola,0.542,0.413,0.293
parabolic,0.459,0.509,0.293
parachute,0.562,0.787,0.293
parade,0.792,0.685,0.293
paradigm,0.573,0.429,0.293
paradise,0.875,0.54,0.293
paradox,0.417,0.442,0.293
paradoxical,0.406,0.547,0.293
paraffin,0.426,0.291,0.293
paragon,0.49,0.431,0.293
paragraph,0.51,0.164,0.293
parakeet,0.576,0.387,0.293
paralegal,0.479,0.47,0.293
parallax,0.437,0.394,0.293
parallel,0.568,0.284,0.293
parallelism,0.549,0.363,0.293
paralysis,0.156,0.5,0.293
paralyze,0.188,0.367,0.293
paramedic,0.673,0.464,0.293
paramedics,0.479,0.594,0.293
paramilitary,0.154,0.804,0.293
paramount,0.771,0.615,0.293
paranoia,0.146,0.841,0.293
